id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152986736252747777,Sun Jul 21 17:00:34 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27818,jeraayrhighness,,BuletinTV3,"Selangor, Malaysia",
1152986401530449920,Sun Jul 21 16:59:14 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27818,syakirkahar,,BuletinTV3,mia4eva,
1152985976337096704,Sun Jul 21 16:57:32 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27818,_bvpkhg,,BuletinTV3,Malaysia,
1152983917382684673,Sun Jul 21 16:49:21 +0000 2019,"<a href=""https://petabencana.id"" rel=""nofollow"">PetaJakarta.org</a>","@rad17yo Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/3kewSHjURC",rad17yo Halo saya Bencana Bot Untuk melaporkan banjir di sekitarmu silakan balas dengan banjir https //t.co/3kewSHjURC,in,0,0,petabencana,banjir,rad17yo,Indonesia,
1152983417702645760,Sun Jul 21 16:47:22 +0000 2019,"<a href=""https://petabencana.id"" rel=""nofollow"">PetaJakarta.org</a>","@TiraaLuana Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/APflfpRO9N",TiraaLuana Halo saya Bencana Bot Untuk melaporkan banjir di sekitarmu silakan balas dengan banjir https //t.co/APflfpRO9N,in,0,0,petabencana,banjir,TiraaLuana,Indonesia,
id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152986736252747777,Sun Jul 21 17:00:34 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27826,jeraayrhighness,,BuletinTV3,"Selangor, Malaysia",
1152986401530449920,Sun Jul 21 16:59:14 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27826,syakirkahar,,BuletinTV3,mia4eva,
1152985976337096704,Sun Jul 21 16:57:32 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27818,_bvpkhg,,BuletinTV3,Malaysia,
1152983917382684673,Sun Jul 21 16:49:21 +0000 2019,"<a href=""https://petabencana.id"" rel=""nofollow"">PetaJakarta.org</a>","@rad17yo Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/3kewSHjURC",rad17yo Halo saya Bencana Bot Untuk melaporkan banjir di sekitarmu silakan balas dengan banjir https //t.co/3kewSHjURC,in,0,0,petabencana,banjir,rad17yo,Indonesia,
1152983417702645760,Sun Jul 21 16:47:22 +0000 2019,"<a href=""https://petabencana.id"" rel=""nofollow"">PetaJakarta.org</a>","@TiraaLuana Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/APflfpRO9N",TiraaLuana Halo saya Bencana Bot Untuk melaporkan banjir di sekitarmu silakan balas dengan banjir https //t.co/APflfpRO9N,in,0,0,petabencana,banjir,TiraaLuana,Indonesia,
1152987921969848320,Sun Jul 21 17:05:16 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27826,apizaziq,,BuletinTV3,"Petaling, Selangor",
1152987842651381760,Sun Jul 21 17:04:57 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27826,_diraeee,,BuletinTV3,,
1152987714188222465,Sun Jul 21 17:04:27 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuletinTV3: Jurukamera TV3 Jatuh Bot!...

Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara.

#Banj…",RT BuletinTV3 Jurukamera TV3 Jatuh Bot ... Inilah pengorbanan seorang pengamal media demi melaporkan apa-apa berita untuk negara Banj…,in,0,27826,piqamin10,,BuletinTV3,,
id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
