id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152982066646175750,Sun Jul 21 16:42:00 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15
. 
#storm #weat…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weat…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152982008848691202,Sun Jul 21 16:41:46 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152981419137748992,Sun Jul 21 16:39:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LiquidAssassin: Pre Order Tsunami
https://t.co/8MP1QD8a1S

Imma keep taking pre orders but maybe not until the 22nd lol. So get your or…",RT LiquidAssassin Pre Order Tsunami https //t.co/8MP1QD8a1S Imma keep taking pre orders maybe 22nd lol So get or…,en,0,3,MatGrundy,,LiquidAssassin,Sydney,
1152980356473217025,Sun Jul 21 16:35:12 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,MoviesCommons,storm,JosephDeMauro1,United States,
1152978207605264384,Sun Jul 21 16:26:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#GempaBumi #Tsunami #IndonesiaRawanGempa #Indonesia |

INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial. BNPB meminta masyarakat untuk tetap siaga menghadapi bencana.
https://t.co/r80hHt3wxq",GempaBumi Tsunami IndonesiaRawanGempa Indonesia INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial BNPB meminta masyarakat untuk tetap siaga menghadapi bencana https //t.co/r80hHt3wxq,in,0,1,serambinews,"GempaBumi, Tsunami, IndonesiaRawanGempa, Indonesia",,Aceh,
id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152982066646175750,Sun Jul 21 16:42:00 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15
. 
#storm #weat…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weat…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152982008848691202,Sun Jul 21 16:41:46 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152981419137748992,Sun Jul 21 16:39:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LiquidAssassin: Pre Order Tsunami
https://t.co/8MP1QD8a1S

Imma keep taking pre orders but maybe not until the 22nd lol. So get your or…",RT LiquidAssassin Pre Order Tsunami https //t.co/8MP1QD8a1S Imma keep taking pre orders maybe 22nd lol So get or…,en,0,3,MatGrundy,,LiquidAssassin,Sydney,
1152980356473217025,Sun Jul 21 16:35:12 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,MoviesCommons,storm,JosephDeMauro1,United States,
1152978207605264384,Sun Jul 21 16:26:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#GempaBumi #Tsunami #IndonesiaRawanGempa #Indonesia |

INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial. BNPB meminta masyarakat untuk tetap siaga menghadapi bencana.
https://t.co/r80hHt3wxq",GempaBumi Tsunami IndonesiaRawanGempa Indonesia INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial BNPB meminta masyarakat untuk tetap siaga menghadapi bencana https //t.co/r80hHt3wxq,in,0,1,serambinews,"GempaBumi, Tsunami, IndonesiaRawanGempa, Indonesia",,Aceh,
id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152982066646175750,Sun Jul 21 16:42:00 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15
. 
#storm #weat…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weat…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152982008848691202,Sun Jul 21 16:41:46 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152981419137748992,Sun Jul 21 16:39:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LiquidAssassin: Pre Order Tsunami
https://t.co/8MP1QD8a1S

Imma keep taking pre orders but maybe not until the 22nd lol. So get your or…",RT LiquidAssassin Pre Order Tsunami https //t.co/8MP1QD8a1S Imma keep taking pre orders maybe 22nd lol So get or…,en,0,3,MatGrundy,,LiquidAssassin,Sydney,
1152980356473217025,Sun Jul 21 16:35:12 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,MoviesCommons,storm,JosephDeMauro1,United States,
1152978207605264384,Sun Jul 21 16:26:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#GempaBumi #Tsunami #IndonesiaRawanGempa #Indonesia |

INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial. BNPB meminta masyarakat untuk tetap siaga menghadapi bencana.
https://t.co/r80hHt3wxq",GempaBumi Tsunami IndonesiaRawanGempa Indonesia INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial BNPB meminta masyarakat untuk tetap siaga menghadapi bencana https //t.co/r80hHt3wxq,in,0,1,serambinews,"GempaBumi, Tsunami, IndonesiaRawanGempa, Indonesia",,Aceh,
id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1152982066646175750,Sun Jul 21 16:42:00 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15
. 
#storm #weat…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weat…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152982008848691202,Sun Jul 21 16:41:46 +0000 2019,"<a href=""https://twitter.com/daniceraj"" rel=""nofollow"">TwitterAppBots</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,daniceraj,storm,JosephDeMauro1,,
1152981419137748992,Sun Jul 21 16:39:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LiquidAssassin: Pre Order Tsunami
https://t.co/8MP1QD8a1S

Imma keep taking pre orders but maybe not until the 22nd lol. So get your or…",RT LiquidAssassin Pre Order Tsunami https //t.co/8MP1QD8a1S Imma keep taking pre orders maybe 22nd lol So get or…,en,0,3,MatGrundy,,LiquidAssassin,Sydney,
1152980356473217025,Sun Jul 21 16:35:12 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15 

#storm #weath…",RT JosephDeMauro1 THE WEATHER COMMONERS The Latest Weather Events Making The News click https //t.co/VQpf8aQl15 storm weath…,en,0,11,MoviesCommons,storm,JosephDeMauro1,United States,
1152978207605264384,Sun Jul 21 16:26:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#GempaBumi #Tsunami #IndonesiaRawanGempa #Indonesia |

INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial. BNPB meminta masyarakat untuk tetap siaga menghadapi bencana.
https://t.co/r80hHt3wxq",GempaBumi Tsunami IndonesiaRawanGempa Indonesia INFORMASI mengenai potensi gempa dan tsunami di Pantai Selatan Jawa menyebar dan ramai dibicarakan di medis sosial BNPB meminta masyarakat untuk tetap siaga menghadapi bencana https //t.co/r80hHt3wxq,in,0,1,serambinews,"GempaBumi, Tsunami, IndonesiaRawanGempa, Indonesia",,Aceh,
